county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
brazoria,153362.0,58759.0,90705.0,0.38313923918571746,0.5914437735553788,texas,161446.0,67075.0,90208.0
brazos,84145.0,32098.0,49342.0,0.38146057400915084,0.5863925366926139,texas,91745.0,34849.0,54153.0
breathitt,5613.0,1652.0,3738.0,0.294316764653483,0.6659540352752539,kentucky,,,
breckinridge,10198.0,2764.0,6937.0,0.2710335359874485,0.6802314179250833,kentucky,,,
bremer,14450.0,5911.0,8196.0,0.4090657439446367,0.56719723183391,iowa,,,
brevard,,,,,,florida,357638.0,140412.0,209204.0
brewster,4768.0,2167.0,2453.0,0.45448825503355705,0.5144714765100671,texas,4544.0,1998.0,2422.0
briscoe,715.0,79.0,625.0,0.11048951048951049,0.8741258741258742,texas,744.0,79.0,649.0
bristol,281364.0,155927.0,115168.0,0.5541824824782132,0.4093203110561408,massachusetts,271363.0,134476.0,136535.0
bristol,27359.0,19106.0,8213.0,0.6983442377279871,0.30019372053072113,rhode island,27489.0,17552.0,9888.0
bristol city,7693.0,2787.0,4892.0,0.3622773950344469,0.6359027687508124,virginia,,,
broadwater,4110.0,1003.0,3107.0,0.2440389294403893,0.7559610705596107,montana,4842.0,1219.0,3503.0
bronx,,,,,,new york,322234.0,243972.0,75281.0
brooke,10365.0,2699.0,7355.0,0.2603955619874578,0.7095996140858659,west virginia,9682.0,2684.0,6857.0
brookings,14538.0,5746.0,8792.0,0.3952400605310222,0.6047599394689779,south dakota,,,
brooks,13811.0,5189.0,8366.0,0.3757150097748172,0.6057490406197958,georgia,,,
brooks,2356.0,1425.0,859.0,0.6048387096774194,0.3646010186757216,texas,2302.0,1379.0,874.0
broome,,,,,,new york,87797.0,46929.0,40295.0
broomfield,46196.0,27447.0,17855.0,0.5941423499870119,0.3865053251363754,colorado,,,
broward,,,,,,florida,862675.0,512458.0,338969.0
brown,2545.0,635.0,1787.0,0.24950884086444008,0.7021611001964636,illinois,,,
brown,,,,,,indiana,8444.0,2695.0,5392.0
brown,4435.0,1193.0,2975.0,0.26899661781285233,0.6708004509582863,kansas,,,
brown,14468.0,,8736.0,,0.6038153165606857,minnesota,14381.0,5851.0,8137.0
brown,1605.0,125.0,1387.0,0.0778816199376947,0.8641744548286604,nebraska,1625.0,nan,1243.0
brown,1605.0,125.0,1387.0,0.0778816199376947,0.8641744548286604,nebraska,1627.0,170.0,1457.0
brown,,,,,,ohio,20591.0,4540.0,15324.0
brown,17451.0,6283.0,11168.0,0.3600366741160965,0.6399633258839035,south dakota,,,
brown,15755.0,1965.0,13482.0,0.12472231037765788,0.8557283402094573,texas,16780.0,2359.0,14108.0
brown,,,,,,wisconsin,147871.0,67789.0,76722.0
brule,2491.0,756.0,1735.0,0.3034925732637495,0.6965074267362505,south dakota,,,
brunswick,89202.0,32180.0,52971.0,0.3607542431784041,0.5938319768615054,north carolina,,,
brunswick,7921.0,4727.0,3192.0,0.596768084837773,0.402979421790178,virginia,7702.0,4324.0,3372.0
bryan,42047.0,12839.0,27988.0,0.305348776369301,0.6656360739172831,georgia,,,
bryan,15907.0,3335.0,11928.0,0.2096561262337336,0.749858552838373,oklahoma,,,
buchanan,10704.0,4292.0,6063.0,0.40097159940209265,0.5664237668161435,iowa,,,
buchanan,,,,,,missouri,35356.0,13004.0,21432.0
buchanan,9736.0,2522.0,7202.0,0.25903861955628593,0.7397288414133114,virginia,9033.0,2331.0,6686.0
